Product,Region,Agent ID,Customer Type,Call Duration,Resolved,Satisfaction Ratio,Up-sell Amount
Desktop,South,AID_092,profit,67,Yes,3.6,200
Accessories,East,AID_093,profit,62,Yes,2.8,130
Software,Mid-West,AID_094,Individual,73,Yes,3.1,190
Misc,East,AID_095,Corporate,96,Yes,2.3,200
Software,West,AID_096,Individual,69,Yes,3.5,320
Software,North,AID_097,Individual,82,Yes,3,230
Laptop,West,AID_098,Individual,76,Yes,3.4,0
Accessories,Mid-West,AID_099,Individual,73,Yes,2.8,220
Misc,North,AID_100,profit,78,Yes,3.2,0
Misc,West,AID_101,Individual,63,Yes,3,0
Accessories,East,AID_102,profit,73,Yes,2.8,0
Monitor,West,AID_103,profit,66,Yes,2.8,240
Laptop,Mid-West,AID_104,Corporate,77,Yes,2.8,230
Misc,North,AID_105,Individual,62,Yes,3.3,0
Laptop,East,AID_106,Individual,94,Yes,2.3,0
Desktop,South,AID_107,profit,69,No,2.7,230
Accessories,North,AID_108,Corporate,79,Yes,3.2,0
Misc,South,AID_109,Corporate,74,Yes,2.8,0
Laptop,Mid-West,AID_110,Corporate,62,Yes,3.9,170
Laptop,South,AID_111,SME,81,No,2.5,180
Misc,South,AID_112,profit,72,Yes,3,50
Laptop,South,AID_113,Individual,76,Yes,3.4,0
Desktop,East,AID_114,profit,84,Yes,2.5,250
Desktop,North,AID_115,Corporate,77,Yes,3.3,180
Desktop,Mid-West,AID_116,SME,77,Yes,3.5,290
Desktop,South,AID_117,Individual,73,Yes,2,180
Accessories,West,AID_118,SME,74,Yes,3.1,0
Laptop,Mid-West,AID_119,SME,80,Yes,2.6,0
Software,West,AID_120,Corporate,74,Yes,2.5,0
Misc,East,AID_121,Corporate,80,Yes,3.6,240
Software,Mid-West,AID_122,Individual,72,Yes,3.3,270
Software,North,AID_123,profit,78,Yes,3.1,330
Accessories,South,AID_124,SME,83,Yes,3.1,0
Software,West,AID_125,SME,71,Yes,2.3,0
Software,West,AID_126,profit,81,Yes,3.2,0
Accessories,Mid-West,AID_127,Individual,84,Yes,3.3,250
Misc,South,AID_128,SME,68,Yes,2.2,0
Accessories,Mid-West,AID_129,Corporate,69,Yes,2.4,0
Desktop,Mid-West,AID_130,Individual,70,Yes,3.5,180
Software,West,AID_131,Corporate,73,Yes,3.2,0
Monitor,South,AID_132,Corporate,73,Yes,2.9,0
Accessories,North,AID_133,Individual,86,Yes,3.1,0
Accessories,North,AID_134,profit,63,Yes,4.6,220
Laptop,North,AID_135,Corporate,77,Yes,3.8,270
Misc,North,AID_136,Corporate,73,Yes,3.1,250
Misc,South,AID_137,Individual,76,Yes,2.6,0
Misc,South,AID_138,profit,61,Yes,2.3,190
Monitor,South,AID_139,Individual,84,Yes,3.1,0
Accessories,West,AID_140,Individual,82,Yes,2.9,150
Desktop,South,AID_141,profit,74,Yes,3.1,260
Accessories,North,AID_142,Corporate,71,Yes,3,0
Monitor,South,AID_143,Individual,77,Yes,2.7,0
Accessories,North,AID_144,Individual,69,Yes,2.8,210
Software,East,AID_145,Individual,95,Yes,3.6,280
Misc,South,AID_146,Corporate,76,Yes,2.8,260
Misc,South,AID_147,Corporate,71,Yes,3.3,170
Software,North,AID_148,profit,67,Yes,3.2,130
Accessories,North,AID_149,SME,77,Yes,2.6,280
Software,West,AID_150,Corporate,76,Yes,3,0
Misc,North,AID_151,profit,88,Yes,3,200
Laptop,North,AID_152,Corporate,87,Yes,2.9,0
Misc,Mid-West,AID_153,Individual,82,Yes,4.1,290
Desktop,Mid-West,AID_154,Corporate,62,Yes,2.6,190
Accessories,West,AID_155,Individual,66,Yes,1.9,0
Monitor,South,AID_156,profit,78,Yes,3.3,170
Laptop,East,AID_157,Corporate,82,Yes,1.7,0
Software,East,AID_158,SME,77,Yes,2.3,100
Laptop,North,AID_159,Corporate,82,Yes,2.7,0
Accessories,West,AID_160,SME,72,Yes,3.1,0
Software,Mid-West,AID_161,SME,62,No,2.7,210
Misc,South,AID_162,Individual,77,Yes,2.2,200
Misc,North,AID_163,Individual,84,Yes,2.8,0
Monitor,North,AID_164,profit,65,Yes,2.3,0
Monitor,North,AID_165,SME,74,Yes,3,0
Desktop,South,AID_166,profit,87,Yes,4,0
Misc,East,AID_167,SME,69,Yes,3,0
Software,Mid-West,AID_168,profit,80,Yes,2.9,220
Accessories,South,AID_169,SME,79,Yes,3.3,0
Laptop,Mid-West,AID_170,SME,54,Yes,3.7,220
Accessories,Mid-West,AID_171,SME,61,Yes,3.2,180
Monitor,East,AID_172,SME,72,Yes,2.4,0
Laptop,East,AID_173,Individual,68,Yes,2.9,0
Monitor,Mid-West,AID_174,Individual,74,Yes,3,280
Misc,East,AID_175,Corporate,68,Yes,2.9,0
Desktop,South,AID_176,Corporate,76,No,3.4,280
Accessories,South,AID_177,SME,88,Yes,3,210
Misc,East,AID_178,Corporate,59,Yes,3,290
Software,East,AID_179,Individual,69,Yes,3.1,0
Laptop,South,AID_180,profit,76,Yes,3.3,130
Accessories,Mid-West,AID_181,Corporate,77,Yes,3.2,70
Desktop,West,AID_182,profit,74,Yes,2.6,0
Software,West,AID_183,Individual,83,Yes,3.4,230
Accessories,East,AID_184,Corporate,67,Yes,2.9,130
Software,South,AID_185,Corporate,76,Yes,3.1,240
Misc,West,AID_186,Individual,85,Yes,4.2,180
Laptop,Mid-West,AID_187,Individual,72,Yes,3.4,0
Misc,South,AID_188,profit,57,Yes,2.3,120
Laptop,West,AID_189,Corporate,85,Yes,3.1,0
Misc,South,AID_190,SME,61,Yes,2.4,170
Monitor,West,AID_191,Corporate,78,Yes,2.8,0
Laptop,Mid-West,AID_192,Individual,68,Yes,2.6,250
Monitor,West,AID_193,Corporate,68,Yes,2.9,310
Laptop,East,AID_194,Corporate,87,Yes,3.4,0
Desktop,North,AID_195,Corporate,60,Yes,2.4,180
Accessories,Mid-West,AID_196,profit,66,Yes,2.5,220
Desktop,South,AID_197,Corporate,63,Yes,3.5,0
Desktop,East,AID_198,Corporate,78,Yes,2.8,200
Accessories,West,AID_199,SME,62,Yes,2.3,0
Desktop,East,AID_200,SME,87,Yes,2.7,240
Accessories,Mid-West,AID_201,Individual,90,Yes,2.9,280
Monitor,South,AID_202,SME,78,Yes,2.8,220
Monitor,Mid-West,AID_203,SME,72,Yes,2.9,0
Misc,East,AID_204,profit,72,Yes,1.4,0
Laptop,East,AID_205,Corporate,78,Yes,2.2,170
Laptop,North,AID_206,Individual,77,Yes,2.8,200
Monitor,South,AID_207,Individual,75,Yes,3.4,0
Software,South,AID_208,SME,83,Yes,2.5,160
Software,East,AID_209,SME,80,Yes,3.2,0
Accessories,East,AID_210,Corporate,68,Yes,2.9,190
Misc,South,AID_211,profit,65,No,2.7,270
Desktop,South,AID_212,profit,70,Yes,2.8,220
Software,North,AID_213,Individual,92,Yes,3.6,240
Software,East,AID_214,SME,77,Yes,3.3,0
Accessories,South,AID_215,profit,68,Yes,2.8,100
Software,East,AID_216,SME,69,Yes,2.4,0
Accessories,North,AID_217,profit,72,Yes,3.4,140
Software,Mid-West,AID_218,profit,77,Yes,2.9,240
Desktop,East,AID_219,SME,71,Yes,3,170
Monitor,North,AID_220,profit,77,Yes,3.3,0
Desktop,Mid-West,AID_221,profit,87,Yes,2.6,210
Monitor,North,AID_222,Corporate,68,Yes,3.4,230
Monitor,East,AID_223,SME,78,Yes,3.4,10
Desktop,North,AID_224,Corporate,84,Yes,3.2,280
Software,East,AID_225,SME,76,Yes,3.2,240
Laptop,South,AID_226,Corporate,80,Yes,2.4,0
Accessories,West,AID_227,profit,85,Yes,2.6,210
Monitor,Mid-West,AID_228,Corporate,74,Yes,2.9,240
Desktop,East,AID_229,Corporate,87,Yes,2.9,290
Accessories,South,AID_230,Individual,75,Yes,2.9,70
Accessories,North,AID_231,SME,72,Yes,2.8,280
Software,West,AID_232,SME,61,Yes,2.1,0
Misc,South,AID_233,Individual,92,Yes,2.9,210
Misc,North,AID_234,SME,75,Yes,3.5,240
Accessories,Mid-West,AID_235,profit,77,Yes,3.1,0
Monitor,West,AID_236,Individual,66,Yes,3.1,190
Misc,West,AID_237,SME,48,Yes,2.8,200
Desktop,South,AID_238,profit,75,Yes,3.1,0
Misc,North,AID_239,profit,77,Yes,3.1,220
Monitor,East,AID_240,Corporate,65,Yes,2.9,60
Laptop,North,AID_241,Corporate,74,Yes,3.3,190
Software,Mid-West,AID_242,SME,66,Yes,2.1,0
Software,West,AID_243,Individual,74,Yes,3,0
Laptop,East,AID_244,Individual,78,Yes,2.9,200
Desktop,West,AID_245,Corporate,70,Yes,2.8,0
Software,West,AID_246,Corporate,80,Yes,2.5,0
Accessories,East,AID_247,profit,63,No,2.7,0
Accessories,North,AID_248,SME,90,Yes,2.4,0
Accessories,West,AID_249,SME,71,Yes,3.2,210
Software,West,AID_250,Corporate,63,Yes,2.9,230
Software,West,AID_251,SME,77,Yes,2.5,250
Monitor,North,AID_252,Individual,81,Yes,2.6,0
Desktop,South,AID_253,Corporate,85,No,3.5,200
Laptop,North,AID_254,Corporate,78,Yes,2.7,140
Desktop,West,AID_255,SME,88,Yes,3.7,0
Misc,West,AID_256,Individual,69,Yes,2.9,150
Monitor,North,AID_257,Corporate,74,Yes,3.1,0
Misc,West,AID_258,SME,85,Yes,3.6,190
Misc,West,AID_259,SME,67,Yes,2.9,0
Misc,East,AID_260,SME,73,Yes,3,140
Software,South,AID_261,profit,62,No,3.3,0
Laptop,East,AID_262,Individual,57,Yes,3.5,0
Monitor,South,AID_263,profit,80,Yes,2.2,190
Laptop,West,AID_264,Individual,80,Yes,2.1,110
Software,East,AID_265,profit,76,Yes,3,0
Monitor,East,AID_266,SME,72,Yes,2.5,210
Laptop,West,AID_267,Corporate,74,Yes,2.1,260
Misc,South,AID_268,profit,64,Yes,3.2,0
Laptop,Mid-West,AID_269,SME,69,Yes,2.9,0
Accessories,North,AID_270,Corporate,68,Yes,2.8,160
Accessories,North,AID_271,Corporate,78,Yes,2.6,0
Misc,West,AID_272,SME,67,Yes,4.1,120
Software,East,AID_273,Corporate,81,Yes,2.6,0
Accessories,West,AID_274,profit,80,Yes,3.2,140
Misc,East,AID_275,profit,81,Yes,2.8,120
Laptop,East,AID_276,Corporate,90,Yes,2.6,0
Accessories,North,AID_277,SME,83,Yes,3,170
Software,South,AID_278,Corporate,83,Yes,2.9,220
Laptop,North,AID_279,profit,90,Yes,3.4,220
Monitor,West,AID_280,SME,91,Yes,3.3,0
Accessories,South,AID_281,Individual,69,Yes,2.8,220
Monitor,South,AID_282,SME,75,Yes,3.2,210
Misc,South,AID_283,profit,81,Yes,3.8,0
Desktop,North,AID_284,SME,68,Yes,3,0
Software,East,AID_285,Individual,75,Yes,3.2,240
Laptop,East,AID_286,profit,82,Yes,3.3,230
Accessories,West,AID_287,SME,80,Yes,3.2,0
Monitor,West,AID_288,SME,69,Yes,3,300
Laptop,East,AID_289,Individual,75,Yes,2.8,190
Software,South,AID_290,SME,82,Yes,3.4,0
Accessories,West,AID_291,SME,82,Yes,3.1,180
Accessories,West,AID_292,Corporate,67,Yes,3.8,0
Misc,North,AID_293,SME,75,No,2.9,220
Laptop,Mid-West,AID_294,SME,81,Yes,3.5,100
Monitor,North,AID_295,Individual,76,Yes,2.5,0
Desktop,North,AID_296,profit,71,Yes,2.3,230
Desktop,North,AID_297,Corporate,77,No,2.7,270
Laptop,West,AID_298,profit,71,No,2.2,140
Laptop,North,AID_299,SME,66,Yes,3.4,0
Accessories,East,AID_300,Corporate,73,Yes,2.5,220
Accessories,East,AID_301,profit,76,Yes,2.8,120
Software,East,AID_302,Individual,80,Yes,3.5,230
Accessories,East,AID_303,Corporate,82,Yes,4,190
Laptop,East,AID_304,Corporate,60,Yes,3.5,0
Misc,North,AID_305,SME,77,Yes,2.9,250
Misc,West,AID_306,SME,64,Yes,2.5,0
Desktop,South,AID_307,Corporate,78,Yes,2.6,0
Monitor,South,AID_308,SME,85,Yes,2.8,220
Laptop,West,AID_309,Corporate,81,Yes,4.2,290
Monitor,East,AID_310,Corporate,82,Yes,2.8,240
Accessories,Mid-West,AID_311,SME,66,Yes,3.5,160
Monitor,East,AID_312,Individual,75,Yes,3.3,160
Laptop,Mid-West,AID_313,profit,63,Yes,3.4,0
Desktop,West,AID_314,Individual,80,Yes,3.1,310
Accessories,North,AID_315,Corporate,73,Yes,3,0
Accessories,East,AID_316,SME,82,Yes,2.4,0
Misc,South,AID_317,Individual,74,Yes,2.7,0
Laptop,East,AID_318,profit,68,Yes,3.3,0
Monitor,West,AID_319,Corporate,70,Yes,3,0
Software,Mid-West,AID_320,SME,70,Yes,2.6,0
Monitor,Mid-West,AID_321,Corporate,67,Yes,3.2,140
Desktop,South,AID_322,profit,72,Yes,2.4,230
Misc,East,AID_323,Corporate,71,Yes,1.9,210
Monitor,West,AID_324,Individual,79,Yes,2.7,0
Monitor,North,AID_325,Corporate,61,Yes,3,0
Desktop,South,AID_326,profit,71,Yes,3.2,220
Misc,West,AID_327,Individual,73,Yes,2.8,270
Software,West,AID_328,Corporate,94,Yes,2.8,190
Software,South,AID_329,profit,71,Yes,3.1,180
Desktop,North,AID_330,profit,64,No,2.9,100
Software,East,AID_331,SME,81,Yes,3.1,190
Desktop,Mid-West,AID_332,Individual,74,Yes,2.6,0
Software,Mid-West,AID_333,Corporate,82,Yes,2.9,0
Monitor,West,AID_334,SME,86,No,3.8,0
Software,East,AID_335,SME,77,Yes,2.4,0
Software,East,AID_336,Individual,80,Yes,2.9,210
Misc,East,AID_337,Individual,72,Yes,3.4,0
Software,South,AID_338,Individual,73,Yes,2.4,200
Accessories,East,AID_339,Individual,72,Yes,2.9,0
Accessories,South,AID_340,Corporate,66,Yes,2.9,0
Desktop,East,AID_341,Corporate,87,Yes,2.9,260
Software,West,AID_342,Corporate,65,Yes,2.6,200
Software,South,AID_343,Individual,75,Yes,2.9,170
Software,South,AID_344,SME,69,Yes,2.4,260
Accessories,South,AID_345,SME,85,Yes,3.3,150
Monitor,East,AID_346,SME,86,Yes,3.2,0
Laptop,South,AID_347,profit,70,Yes,3.1,0
Accessories,East,AID_348,Corporate,77,Yes,2.4,220
Laptop,North,AID_349,Corporate,80,Yes,3.3,0
Laptop,South,AID_350,Corporate,87,Yes,3.8,190
Desktop,North,AID_351,profit,74,Yes,2.3,150
Desktop,Mid-West,AID_352,SME,84,Yes,2.8,0
Software,South,AID_353,Individual,80,Yes,2.7,0
Misc,East,AID_354,profit,61,Yes,2.5,0
Software,South,AID_355,Individual,62,Yes,2.7,140
Laptop,East,AID_356,Corporate,80,Yes,4.1,0
Software,South,AID_357,profit,62,Yes,3,270
Misc,East,AID_358,SME,84,Yes,3.1,0
Desktop,East,AID_359,profit,78,Yes,3,0
Laptop,North,AID_360,Individual,83,Yes,3.4,0
Accessories,Mid-West,AID_361,profit,74,Yes,3.5,240
Desktop,Mid-West,AID_362,profit,79,Yes,3.3,0
Laptop,North,AID_363,Corporate,81,Yes,4,150
Misc,North,AID_364,profit,66,Yes,2.3,0
Misc,South,AID_365,SME,78,Yes,3,230
Software,East,AID_366,SME,79,Yes,2,220
Laptop,Mid-West,AID_367,SME,81,Yes,3.7,160
Laptop,East,AID_368,Individual,85,Yes,2.5,210
Accessories,North,AID_369,profit,65,Yes,2.9,0
Software,West,AID_370,SME,88,Yes,2.6,220
Accessories,North,AID_371,Corporate,66,No,3.8,150
Desktop,North,AID_372,SME,67,Yes,3.8,210
Laptop,East,AID_373,SME,70,Yes,3.3,70
Laptop,East,AID_374,Individual,80,Yes,3.4,290
Misc,South,AID_375,profit,91,Yes,2.3,150
Software,East,AID_376,Corporate,66,Yes,3.6,270
Software,North,AID_377,profit,76,Yes,2.6,130
Misc,Mid-West,AID_378,Corporate,67,Yes,3.1,0
Laptop,Mid-West,AID_379,Individual,80,Yes,2.9,210
Desktop,North,AID_380,SME,76,Yes,4.1,240
Laptop,East,AID_381,Individual,68,Yes,3.7,0
Software,North,AID_382,Corporate,88,Yes,2.3,0
Accessories,North,AID_383,profit,74,Yes,3.3,0
Accessories,East,AID_384,profit,72,Yes,2.5,160
Monitor,West,AID_385,profit,79,Yes,3.1,200
Desktop,Mid-West,AID_386,profit,70,Yes,3.4,0
Misc,North,AID_387,Corporate,78,Yes,1.8,0
Accessories,North,AID_388,profit,76,Yes,2.2,60
Misc,East,AID_389,Individual,63,No,2.7,0
Desktop,West,AID_390,profit,71,Yes,2.1,0
Misc,South,AID_391,profit,77,Yes,2.3,190
Monitor,East,AID_392,Corporate,64,Yes,3.2,170
Misc,South,AID_393,Individual,70,Yes,3.4,210
Laptop,Mid-West,AID_394,Individual,86,Yes,2.8,170
Software,South,AID_395,Corporate,78,Yes,3.7,160
Misc,North,AID_396,SME,74,Yes,3.3,130
Software,West,AID_397,profit,91,No,3.5,0
Desktop,North,AID_398,Individual,81,Yes,3.9,0
Misc,South,AID_399,profit,80,Yes,3.6,310
Misc,South,AID_400,profit,83,Yes,3.3,190
Accessories,South,AID_401,profit,78,Yes,1.7,270
Accessories,Mid-West,AID_402,Individual,86,Yes,2.9,0
Accessories,East,AID_403,Corporate,78,Yes,2.7,0
Accessories,West,AID_404,Individual,90,Yes,3,0
Laptop,West,AID_405,SME,79,Yes,2.7,260
Monitor,Mid-West,AID_406,Corporate,69,Yes,2.2,160
Laptop,East,AID_407,SME,70,Yes,3.1,270
Software,Mid-West,AID_408,Corporate,65,Yes,2.1,150
Software,East,AID_409,Corporate,67,Yes,2.8,210
Software,Mid-West,AID_410,Individual,80,Yes,2.7,150
Monitor,West,AID_411,Individual,88,Yes,2.5,220
Accessories,South,AID_412,Individual,72,Yes,3.7,160
Misc,North,AID_413,SME,73,Yes,3.1,150
Accessories,North,AID_414,Individual,68,Yes,3.3,150
Laptop,North,AID_415,Corporate,80,Yes,1.9,0
Monitor,West,AID_416,SME,76,Yes,4.3,0
Misc,Mid-West,AID_417,Individual,94,Yes,3.2,0
Accessories,East,AID_418,Corporate,80,Yes,2,190
Laptop,North,AID_419,Corporate,86,Yes,3.1,0
Desktop,Mid-West,AID_420,Corporate,74,Yes,3.7,240
Accessories,Mid-West,AID_421,SME,75,Yes,3.6,0
Accessories,North,AID_422,SME,87,No,3.1,160
Software,North,AID_423,profit,62,Yes,2.9,0
Laptop,West,AID_424,Corporate,78,Yes,2.2,180
Monitor,West,AID_425,Individual,59,Yes,3.3,200
Misc,Mid-West,AID_426,Corporate,74,Yes,3.3,210
Laptop,North,AID_427,Corporate,70,Yes,2.9,210
Misc,South,AID_428,SME,64,Yes,2.9,0
Monitor,East,AID_429,Corporate,75,Yes,3.8,160
Misc,East,AID_430,SME,72,Yes,2.4,0
Accessories,West,AID_431,Corporate,94,Yes,3.1,230
Monitor,East,AID_432,Individual,82,Yes,3.2,0
Misc,East,AID_433,Individual,77,Yes,3,250
Accessories,Mid-West,AID_434,Individual,78,Yes,3.4,160
Accessories,South,AID_435,profit,69,Yes,3.3,240
Desktop,East,AID_436,profit,75,Yes,3.1,230
Software,Mid-West,AID_437,Corporate,76,Yes,3.8,140
Accessories,West,AID_438,Individual,65,Yes,3.6,0
Desktop,East,AID_439,Individual,70,Yes,3.1,0
Monitor,North,AID_440,Corporate,74,Yes,3,0
Accessories,South,AID_441,Individual,82,No,3.5,200
Software,East,AID_442,SME,81,Yes,2.2,0
Software,South,AID_443,profit,67,Yes,4.2,170
Misc,South,AID_444,Corporate,73,Yes,2.5,0
Desktop,Mid-West,AID_445,SME,80,Yes,3.2,220
Monitor,Mid-West,AID_446,Corporate,61,Yes,3.3,260
Laptop,East,AID_447,Corporate,62,Yes,3.2,220
Misc,South,AID_448,Corporate,83,Yes,2.9,220
Accessories,West,AID_449,Individual,75,Yes,2.5,260
Desktop,East,AID_450,profit,72,Yes,3.4,120
Desktop,Mid-West,AID_451,profit,70,Yes,2.9,180
Accessories,Mid-West,AID_452,profit,85,No,3.4,190
Monitor,East,AID_453,Individual,76,Yes,3.4,0
Laptop,West,AID_454,profit,85,Yes,2.8,100
Misc,West,AID_455,profit,91,Yes,3.7,250
Laptop,West,AID_456,Individual,83,Yes,3,0
Software,East,AID_457,Individual,75,Yes,3.8,0
Software,East,AID_458,Corporate,73,Yes,3.3,0
Misc,East,AID_459,SME,71,Yes,2.1,0
Monitor,North,AID_460,Individual,86,Yes,3.1,200
Monitor,Mid-West,AID_461,Individual,71,Yes,2.6,120
Monitor,North,AID_462,Individual,64,Yes,3.9,220
Accessories,East,AID_463,Corporate,73,Yes,2.8,120
Software,West,AID_464,Corporate,71,Yes,2.8,270
Misc,West,AID_465,Corporate,78,Yes,3,240
Software,East,AID_466,SME,78,Yes,3.6,170
Accessories,East,AID_467,Corporate,67,Yes,3.2,0
Monitor,North,AID_468,profit,78,Yes,2.9,0
Monitor,Mid-West,AID_469,profit,81,Yes,2,180
Laptop,Mid-West,AID_470,SME,63,Yes,3.3,200
Software,West,AID_471,Corporate,87,Yes,3.4,230
Laptop,South,AID_472,profit,55,No,3,180
Misc,West,AID_473,Individual,57,Yes,3.4,0
Laptop,West,AID_474,profit,64,Yes,2.8,0
Misc,North,AID_475,Individual,80,Yes,3.6,110
Software,South,AID_476,Corporate,69,Yes,2.5,280
Desktop,North,AID_477,Individual,76,Yes,4.4,0
Misc,Mid-West,AID_478,Individual,86,Yes,3,0
Laptop,West,AID_479,profit,78,Yes,3.2,0
Accessories,South,AID_480,Corporate,73,Yes,3.2,0
Accessories,South,AID_481,profit,86,Yes,2.9,300
Laptop,North,AID_482,Corporate,81,Yes,3.4,110
Desktop,North,AID_483,Corporate,76,Yes,2.7,0
Laptop,North,AID_484,Corporate,88,Yes,3.1,180
Laptop,East,AID_485,Individual,79,Yes,3.6,0
Laptop,North,AID_486,Individual,88,Yes,2.9,0
Misc,North,AID_487,profit,85,Yes,2.3,160
Laptop,Mid-West,AID_488,Individual,84,Yes,3.3,0
Desktop,West,AID_489,Corporate,69,Yes,2.9,210
Software,Mid-West,AID_490,Corporate,70,Yes,2.1,180
Laptop,Mid-West,AID_491,SME,74,Yes,2.4,170
Desktop,Mid-West,AID_492,Individual,87,Yes,3.1,0
Laptop,Mid-West,AID_493,profit,81,Yes,3.1,170
Monitor,West,AID_494,Individual,76,Yes,2.6,150
Misc,East,AID_495,SME,83,Yes,3.5,140
Software,North,AID_496,Corporate,91,Yes,2.3,0
Laptop,East,AID_497,Individual,69,Yes,3.5,0
Software,South,AID_498,SME,61,Yes,2.7,0
Misc,West,AID_499,SME,76,Yes,2.6,240
Monitor,North,AID_500,profit,73,Yes,3.2,170
Accessories,East,AID_501,Individual,79,Yes,3.1,230
